"year","Ts","dOsea","dTsVscales"
-4185000,4.775144,2.86,4.94933991436727
-4180000,4.738166,2.87,4.87707144609301
-4175000,4.296614,2.99,4.01411815755828
-4170000,4.040904,3.06,3.51436776482715
-4165000,4.26,3,3.94256107774342
-4160000,3.859094,3.11,3.15904486426618
-4155000,3.677984,3.16,2.80509001843482
-4150000,3.859094,3.11,3.15904486426618
-4145000,4.333256,2.98,4.08572995956232
-4140000,4.553696,2.92,4.51654993755947
-4135000,4.333256,2.98,4.08572995956232
-4130000,4.923336,2.82,5.23896100935617
-4125000,4.26,3,3.94256107774342
-4120000,4.480104,2.94,4.37272438947035
-4115000,4.590534,2.91,4.58854479488781
-4110000,4.738166,2.87,4.87707144609301
-4105000,4.701216,2.88,4.80485770000793
-4100000,4.738166,2.87,4.87707144609301
-4095000,4.004486,3.07,3.44319374033659
-4090000,4.004486,3.07,3.44319374033659
-4085000,4.150326,3.03,3.72821817143395
-4080000,4.223414,3.01,3.87105872011775
-4075000,4.186856,3.02,3.79961108468126
-4070000,3.968096,3.08,3.37207443803521
-4065000,4.223414,3.01,3.87105872011775
-4060000,3.8954,3.1,3.23
-4055000,4.040904,3.06,3.51436776482715
-4050000,4.040904,3.06,3.51436776482715
-4045000,3.677984,3.16,2.80509001843482
-4040000,3.5336,3.2,2.52291114117507
-4035000,3.641846,3.17,2.73446321583611
-4030000,3.822816,3.12,3.08814445072153
-4025000,4.186856,3.02,3.79961108468126
-4020000,4.004486,3.07,3.44319374033659
-4015000,4.44335,2.95,4.30089369870956
-4010000,4.406624,2.96,4.22911773013796
-4005000,3.677984,3.16,2.80509001843482
-4e+06,3.425606,3.23,2.3118515662167
-3995000,3.1746,3.3,1.82129450126863
-3990000,3.389664,3.24,2.24160781894228
-3985000,4.040904,3.06,3.51436776482715
-3980000,4.040904,3.06,3.51436776482715
-3975000,4.223414,3.01,3.87105872011775
-3970000,4.223414,3.01,3.87105872011775
-3965000,4.480104,2.94,4.37272438947035
-3960000,4.664294,2.89,4.73269867611204
-3955000,4.6274,2.9,4.66059437440533
-3950000,4.186856,3.02,3.79961108468126
-3945000,4.113824,3.04,3.65687998037583
