"","years.BP.2000","permille"
"367","9.150.000",-34.81
"368","9.200.000",-34.81
"369","9.200.000",-35.48
"370","9.250.000",-35.48
"371","9.250.000",-35.41
"372","9.300.000",-35.41
"373","9.300.000",-34.78
"374","9.350.000",-34.78
"375","9.350.000",-34.87
"376","9.400.000",-34.87
"377","9.400.000",-35.12
"378","9.450.000",-35.12
"379","9.450.000",-34.83
"380","9.500.000",-34.83
"381","9.500.000",-34.91
"382","9.550.000",-34.91
"383","9.550.000",-34.86
"384","9.600.000",-34.86
"385","9.600.000",-34.86
"386","9.650.000",-34.86
"387","9.650.000",-34.7
"388","9.700.000",-34.7
"389","9.700.000",-34.64
"390","9.750.000",-34.64
"391","9.750.000",-35.15
"392","9.800.000",-35.15
"393","9.800.000",-34.99
"394","9.850.000",-34.99
"395","9.850.000",-35.13
"396","9.900.000",-35.13
"397","9.900.000",-34.93
"398","9.950.000",-34.93
"399","9.950.000",-35.29
"400","10.000.000",-35.29
"401","10.000.000",-35.25
"402","10.050.000",-35.25
"403","10.050.000",-35.24
"404","10.100.000",-35.24
"405","10.100.000",-35.38
"406","10.150.000",-35.38
"407","10.150.000",-36.27
"408","10.200.000",-36.27
"409","10.200.000",-35.73
"410","10.250.000",-35.73
"411","10.250.000",-36.18
"412","10.300.000",-36.18
"413","10.300.000",-36.22
"414","10.350.000",-36.22
"415","10.350.000",-36.09
"416","10.400.000",-36.09
"417","10.400.000",-35.7
"418","10.450.000",-35.7
"419","10.450.000",-35.9
"420","10.500.000",-35.9
"421","10.500.000",-36.3
"422","10.550.000",-36.3
"423","10.550.000",-35.62
"424","10.600.000",-35.62
"425","10.600.000",-36.17
"426","10.650.000",-36.17
"427","10.650.000",-36.31
"428","10.700.000",-36.31
"429","10.700.000",-36.54
"430","10.750.000",-36.54
"431","10.750.000",-37.36
"432","10.800.000",-37.36
"433","10.800.000",-37.23
"434","10.850.000",-37.23
"435","10.850.000",-36.99
"436","10.900.000",-36.99
"437","10.900.000",-36.7
"438","10.950.000",-36.7
"439","10.950.000",-36.78
"440","11.000.000",-36.78
"441","11.000.000",-36.73
"442","11.050.000",-36.73
"443","11.050.000",-37.48
"444","11.100.000",-37.48
"445","11.100.000",-36.51
"446","11.150.000",-36.51
"447","11.150.000",-36.96
"448","11.200.000",-36.96
"449","11.200.000",-37.44
"450","11.250.000",-37.44
"451","11.250.000",-37.98
"452","11.300.000",-37.98
"453","11.300.000",-38.03
"454","11.350.000",-38.03
"455","11.350.000",-37.13
"456","11.400.000",-37.13
"457","11.400.000",-36.77
"458","11.450.000",-36.77
"459","11.450.000",-36.7
"460","11.500.000",-36.7
"461","11.500.000",-38.99
"462","11.550.000",-38.99
"463","11.550.000",-40.22
"464","11.600.000",-40.22
"465","11.600.000",-40.22
"466","11.650.000",-40.22
"467","11.650.000",-39.71
"468","11.700.000",-39.71
"469","11.700.000",-40.84
